2458401,361111111;09/10/2018
2458483,972222222;31/12/2018
2458566,9444444445;24/03/2019
2458650,284722222;15/06/2019
2458733,909722222;07/09/2019
2458817,715277778;30/11/2019
2458901,6458333335;22/02/2020
2458985,5555555555;16/05/2020
2459069,1666666665;07/08/2020
2459152,2430555555;29/10/2020
2459234,7708333335;20/01/2021
2459316,9375;12/04/2021
2459398,965277778;03/07/2021
2459481,048611111;23/09/2021
2459563,3819444445;14/12/2021
2459646,1666666665;07/03/2022
2459729,5416666665;30/05/2022
2459813,3958333335;21/08/2022
2459897,4305555555;13/11/2022
2459981,326388889;05/02/2023
2460064,9305555555;30/04/2023
2460148,1805555555;22/07/2023
2460231,0625;13/10/2023
2460313,638888889;04/01/2024
2460395,9930555555;26/03/2024
2460478,263888889;16/06/2024
2460560,576388889;07/09/2024
2460643,0694444445;28/11/2024
2460725,840277778;19/02/2025
2460808,972222222;13/05/2025
2460892,465277778;04/08/2025
2460976,277777778;27/10/2025
2461060,263888889;19/01/2026
2461144,1805555555;13/04/2026
2461227,715277778;06/07/2026
2461310,7430555555;27/09/2026
2461393,326388889;18/12/2026
2461475,6319444445;11/03/2027
2461557,8541666665;01/06/2027
2461640,1805555555;22/08/2027
2461722,798611111;13/11/2027
2461805,8680555555;04/02/2028
2461889,375;27/04/2028
2461973,152777778;20/07/2028
2462056,9791666665;12/10/2028
2462140,7708333335;04/01/2029
2462224,465277778;28/03/2029
2462307,9791666665;20/06/2029
2462391,1875;11/09/2029
