tts1_TOI4504c;tts60_TOI4504c;tts600_TOI4504c;tts6000_TOI4504c;tts10000_TOI4504c;tts20000_TOI4504c
2458400,27863923;2458400,27863914;2458400,27863916;2458400,27863959;2458400,27864057;2458400,27864454
2458482,76350215;2458482,76350208;2458482,76350223;2458482,76350240;2458482,76350311;2458482,76350575
2458565,40783104;2458565,40783106;2458565,40783109;2458565,40783121;2458565,40783125;2458565,40783213
2458648,24781802;2458648,24781808;2458648,24781810;2458648,24781795;2458648,24781760;2458648,24781650
2458731,31015706;2458731,31015701;2458731,31015703;2458731,31015665;2458731,31015577;2458731,31015246
2458814,60763699;2458814,60763694;2458814,60763688;2458814,60763620;2458814,60763492;2458814,60762918
2458898,12108444;2458898,12108451;2458898,12108453;2458898,12108351;2458898,12108201;2458898,12107428
2458981,74999051;2458981,74999042;2458981,74999057;2458981,74998952;2458981,74998793;2458981,74997999
2459065,26789686;2459065,26789695;2459065,26789697;2459065,26789619;2459065,26789500;2459065,26788970
2459148,41004928;2459148,41004935;2459148,41004933;2459148,41004921;2459148,41004908;2459148,41004842
2459231,07104646;2459231,07104653;2459231,07104651;2459231,07104705;2459231,07104776;2459231,07105196
2459313,34926224;2459313,34926224;2459313,34926234;2459313,34926307;2459313,34926453;2459313,34927159
2459395,42720983;2459395,42720973;2459395,42720975;2459395,42721079;2459395,42721234;2459395,42722029
2459477,49311117;2459477,49311125;2459477,49311119;2459477,49311202;2459477,49311361;2459477,49312045
2459559,72481599;2459559,72481613;2459559,72481611;2459559,72481655;2459559,72481734;2459559,72482132
2459642,28045003;2459642,28045002;2459642,28045008;2459642,28044993;2459642,28044980;2459642,28044936
2459725,27021150;2459725,27021137;2459725,27021143;2459725,27021070;2459725,27020960;2459725,27020364
2459808,69756628;2459808,69756631;2459808,69756624;2459808,69756507;2459808,69756286;2459808,69755270
2459892,40272796;2459892,40272785;2459892,40272787;2459892,40272648;2459892,40272387;2459892,40271195
2459976,10882207;2459976,10882204;2459976,10882198;2459976,10882077;2459976,10881869;2459976,10880832
2460059,56996736;2460059,56996740;2460059,56996738;2460059,56996659;2460059,56996536;2460059,56995874
2460142,66634738;2460142,66634750;2460142,66634740;2460142,66634723;2460142,66634683;2460142,66634462
2460225,38897144;2460225,38897137;2460225,38897143;2460225,38897163;2460225,38897207;2460225,38897384
2460307,79234981;2460307,79234984;2460307,79234982;2460307,79235038;2460307,79235153;2460307,79235639
2460389,96324915;2460389,96324929;2460389,96324931;2460389,96324996;2460389,96325146;2460389,96325809
2460472,00532145;2460472,00532150;2460472,00532140;2460472,00532231;2460472,00532390;2460472,00533119
2460554,03430076;2460554,03430083;2460554,03430080;2460554,03430164;2460554,03430296;2460554,03430981
2460636,18151485;2460636,18151474;2460636,18151485;2460636,18151539;2460636,18151623;2460636,18152086
2460718,59496121;2460718,59496112;2460718,59496127;2460718,59496137;2460718,59496159;2460718,59496269
