tts1_TOI4504d,tts60_TOI4504d,tts600_TOI4504d,tts6000_TOI4504d,tts10000_TOI4504d,tts20000_TOI4504d
2458403.687186505,2458403.6871866016,2458403.687186453,2458403.687186705,2458403.6871869257,2458403.6871880293
2458444.6682925527,2458444.6682924908,2458444.6682924693,2458444.6682928004,2458444.6682933304,2458444.668295538
2458485.7146049445,2458485.71460495,2458485.7146050134,2458485.7146054506,2458485.714606113,2458485.714609645
2458526.5690325703,2458526.5690327114,2458526.569032563,2458526.569033265,2458526.569034325,2458526.5690391813
2458567.4648660845,2458567.464866045,2458567.4648661083,2458567.464866837,2458567.464868338,2458567.46487474
2458608.1684582066,2458608.168458303,2458608.168458197,2458608.1684592697,2458608.168461036,2458608.1684692036
2458648.8740835683,2458648.8740835404,2458648.874083519,2458648.8740847507,2458648.874086914,2458648.8740970693
2458689.417564652,2458689.4175646463,2458689.41756471,2458689.417566127,2458689.4175685113,2458689.4175802115
2458729.9084526007,2458729.9084526063,2458729.9084526696,2458729.908454352,2458729.9084571777,2458729.9084710856
2458770.3010343425,2458770.3010342917,2458770.3010343974,2458770.3010361064,2458770.3010394615,2458770.301054694
2458810.578777036,2458810.578776974,2458810.578776995,2458810.5787790483,2458810.578782801,2458810.5788000203
2458850.8547094725,2458850.8547094557,2458850.854709519,2458850.8547115987,2458850.854715484,2458850.854733807
2458890.971040853,2458890.9710409376,2458890.971040832,2458890.971043176,2458890.971047238,2458890.971066665
2458931.2034419305,2458931.203441959,2458931.203441938,2458931.203444203,2458931.2034484413,2458931.203467647
2458971.292730125,2458971.2927301195,2458971.2927302253,2458971.292732358,2458971.292736464,2458971.2927550077
2459011.6088978406,2459011.608897824,2459011.608897845,2459011.608899898,2459011.608903607,2459011.608920605
2459051.8936146377,2459051.8936146204,2459051.893614769,2459051.8936163187,2459051.893619365,2459051.893633273
2459092.4581876625,2459092.4581877813,2459092.458187845,2459092.4581889976,2459092.4581912933,2459092.4582021106
2459133.158650264,2459133.158650292,2459133.1586503983,2459133.1586511265,2459133.1586523186,2459133.158658279
2459174.0938953087,2459174.0938952127,2459174.0938952765,2459174.0938954223,2459174.0938958195,2459174.0938978065
2459215.268040093,2459215.2680400424,2459215.2680400214,2459215.2680397695,2459215.2680393723,2459215.268036944
2459256.5675899703,2459256.567590078,2459256.5675899717,2459256.5675893757,2459256.567588228,2459256.5675829295
2459298.0860797344,2459298.0860796613,2459298.0860795975,2459298.086078763,2459298.086077085,2459298.0860693585
2459339.6211687103,2459339.621168772,2459339.6211686665,2459339.6211676467,2459339.621165836,2459339.621156785
2459381.2892897315,2459381.289289771,2459381.2892895807,2459381.289288534,2459381.2892866354,2459381.289277143
2459422.874173991,2459422.874173906,2459422.874174012,2459422.87417286,2459422.8741710936,2459422.874162484
2459464.5143577293,2459464.5143577578,2459464.5143577787,2459464.5143569177,2459464.5143551957,2459464.514347911
2459505.9661513492,2459505.9661513437,2459505.9661514494,2459505.966150827,2459505.9661497674,2459505.9661451313
2459547.4356353986,2459547.4356354605,2459547.4356355667,2459547.435635262,2459547.4356347765,2459547.4356327895
2459588.61458053,2459588.614580536,2459588.6145804725,2459588.6145806974,2459588.614581139,2459588.614582905
2459629.807113806,2459629.8071139017,2459629.8071137536,2459629.8071144023,2459629.8071155944,2459629.8071208927
2459670.6432509585,2459670.643250953,2459670.643250889,2459670.643252068,2459670.643254011,2459670.6432635034
2459711.4984533237,2459711.498453352,2459711.4984532464,2459711.4984548753,2459711.498457745,2459711.4984712116
2459752.0136716035,2459752.0136716207,2459752.013671769,2459752.013673716,2459752.0136772483,2459752.013694026
2459792.546623897,2459792.5466238232,2459792.546623972,2459792.5466262633,2459792.5466304575,2459792.5466505466
2459832.854438386,2459832.854438358,2459832.8544384637,2459832.8544409405,2459832.854445665,2459832.8544670786
2459873.1815580693,2459873.1815579734,2459873.181558079,2459873.181560768,2459873.181565713,2459873.181588451
2459913.443091453,2459913.4430915834,2459913.4430916044,2459913.443094293,2459913.4430990177,2459913.443121535
2459953.7468649633,2459953.7468650816,2459953.7468650606,2459953.7468676437,2459953.746872147,2459953.7468937812
2459994.11014983,2459994.110149892,2459994.1101499135,2459994.1101522576,2459994.1101565403,2459994.110176188
2460034.557831398,2460034.557831404,2460034.5578315523,2460034.5578334727,2460034.5578371375,2460034.5578545774
2460075.1258932836,2460075.1258932324,2460075.125893169,2460075.1258948776,2460075.125897924,2460075.125912494
2460115.8177854638,2460115.81778539,2460115.817785369,2460115.8177867862,2460115.817789347,2460115.8178006057
2460156.648530183,2460156.6485303245,2460156.6485302183,2460156.648531291,2460156.6485328805,2460156.6485410486
2460197.6164859124,2460197.6164860195,2460197.6164859137,2460197.6164866155,2460197.616487631,2460197.6164927087
2460238.7289962205,2460238.728996192,2460238.7289961707,2460238.728996449,2460238.7289968906,2460238.728998657
2460279.9560999894,2460279.95610004,2460279.956099934,2460279.956099921,2460279.9560998324,2460279.9560991703
2460321.333739059,2460321.333739132,2460321.333739069,2460321.3337386316,2460321.333737837,2460321.3337345254
2460362.7727579754,2460362.7727578906,2460362.772757954,2460362.7727572788,2460362.772756263,2460362.772750965
2460404.3626934136,2460404.362693363,2460404.3626932567,2460404.362692502,2460404.3626910006,2460404.3626839365
2460445.9459328884,2460445.945932939,2460445.945932918,2460445.945931872,2460445.94593015,2460445.9459222024
2460487.6573814563,2460487.657381439,2460487.6573815877,2460487.657380435,2460487.6573786694,2460487.6573700598
2460529.2961517107,2460529.2961516487,2460529.296151797,2460529.2961506713,2460529.2961488166,2460529.296140428
2460570.999919976,2460570.9999198914,2460570.999919785,2460570.9999189773,2460570.999917388,2460570.999909882
2460612.575314218,2460612.5753140766,2460612.575314098,2460612.575313449,2460612.5753121246,2460612.575306164
2460654.1173414895,2460654.117341529,2460654.1173414653,2460654.1173411077,2460654.1173404013,2460654.1173368692
2460695.4774349863,2460695.477435048,2460695.477435112,2460695.477434993,2460695.477434772,2460695.4774345513
2460736.7211310943,2460736.7211309643,2460736.721131113,2460736.721131338,2460736.7211320885,2460736.7211349583
2460777.7188273114,2460777.718827226,2460777.7188272476,2460777.7188281883,2460777.7188297776,2460777.7188368416
2460818.606441786,2460818.6064416673,2460818.606441816,2460818.6064429414,2460818.6064451933,2460818.60645579
2460859.193257288,2460859.1932573956,2460859.193257332,2460859.193259014,2460859.1932620164,2460859.1932763658
2460899.772550908,2460899.7725508795,2460899.772550901,2460899.77255298,2460899.7725565126,2460899.772573069
